row_id,attacker_model,victim_model,dataset,attack_type,attack_method,variant,similarity
0,ArcFace,Facenet512,lfw_pairs,impersonation_attack,FAUG,vanilla,0.6589628615840701
32,ArcFace,Facenet512,lfw_pairs,impersonation_attack,FAUG,vanilla,0.4833942251747577
48,ArcFace,Facenet512,lfw_pairs,impersonation_attack,FAUG,vanilla,-0.06254874856340195
57,ArcFace,Facenet512,lfw_pairs,impersonation_attack,FAUG,vanilla,0.3561298063588946
60,ArcFace,Facenet512,lfw_pairs,impersonation_attack,FAUG,vanilla,0.4779310867954009
2,ArcFace,Facenet512,celeba_pairs,impersonation_attack,FAUG,vanilla,0.23152618637847935
8,ArcFace,Facenet512,celeba_pairs,impersonation_attack,FAUG,vanilla,-0.0199540144240574
12,ArcFace,Facenet512,celeba_pairs,impersonation_attack,FAUG,vanilla,0.22001020944579214
26,ArcFace,Facenet512,celeba_pairs,impersonation_attack,FAUG,vanilla,0.05551293801948768
34,ArcFace,Facenet512,celeba_pairs,impersonation_attack,FAUG,vanilla,0.3445094569875342
3,ArcFace,Facenet512,vggface2_pairs,impersonation_attack,FAUG,vanilla,0.13487722854587234
5,ArcFace,Facenet512,vggface2_pairs,impersonation_attack,FAUG,vanilla,-0.06207145080048505
17,ArcFace,Facenet512,vggface2_pairs,impersonation_attack,FAUG,vanilla,0.4443077879582131
19,ArcFace,Facenet512,vggface2_pairs,impersonation_attack,FAUG,vanilla,0.01834349884596732
21,ArcFace,Facenet512,vggface2_pairs,impersonation_attack,FAUG,vanilla,-0.10980239365783555
6,ArcFace,Facenet512,lfw_pairs,dodging_attack,FAUG,vanilla,0.3656873630263443
9,ArcFace,Facenet512,lfw_pairs,dodging_attack,FAUG,vanilla,0.7321691234186749
15,ArcFace,Facenet512,lfw_pairs,dodging_attack,FAUG,vanilla,0.3141591017923272
16,ArcFace,Facenet512,lfw_pairs,dodging_attack,FAUG,vanilla,0.6975597819758893
23,ArcFace,Facenet512,lfw_pairs,dodging_attack,FAUG,vanilla,0.5959701269528024
18,ArcFace,Facenet512,celeba_pairs,dodging_attack,FAUG,vanilla,0.48994473074149697
27,ArcFace,Facenet512,celeba_pairs,dodging_attack,FAUG,vanilla,0.6358368152752958
28,ArcFace,Facenet512,celeba_pairs,dodging_attack,FAUG,vanilla,0.7405967426383209
