row_id,attacker_model,victim_model,dataset,attack_type,attack_method,variant,similarity
0,ArcFace,Facenet512,lfw_pairs,impersonation_attack,IDAA,vanilla,0.6861006212080251
32,ArcFace,Facenet512,lfw_pairs,impersonation_attack,IDAA,vanilla,0.5210497830261827
48,ArcFace,Facenet512,lfw_pairs,impersonation_attack,IDAA,vanilla,0.08944955161185623
57,ArcFace,Facenet512,lfw_pairs,impersonation_attack,IDAA,vanilla,0.4272637903652359
60,ArcFace,Facenet512,lfw_pairs,impersonation_attack,IDAA,vanilla,0.49887345374560843
2,ArcFace,Facenet512,celeba_pairs,impersonation_attack,IDAA,vanilla,0.3959278102958096
8,ArcFace,Facenet512,celeba_pairs,impersonation_attack,IDAA,vanilla,0.09801753768620014
12,ArcFace,Facenet512,celeba_pairs,impersonation_attack,IDAA,vanilla,0.2802482725369975
26,ArcFace,Facenet512,celeba_pairs,impersonation_attack,IDAA,vanilla,0.12766686231335775
34,ArcFace,Facenet512,celeba_pairs,impersonation_attack,IDAA,vanilla,0.4905187191370562
3,ArcFace,Facenet512,vggface2_pairs,impersonation_attack,IDAA,vanilla,0.16881647087415466
5,ArcFace,Facenet512,vggface2_pairs,impersonation_attack,IDAA,vanilla,-0.053817508624880106
17,ArcFace,Facenet512,vggface2_pairs,impersonation_attack,IDAA,vanilla,0.4871352565886594
19,ArcFace,Facenet512,vggface2_pairs,impersonation_attack,IDAA,vanilla,0.16351144933554349
21,ArcFace,Facenet512,vggface2_pairs,impersonation_attack,IDAA,vanilla,-0.016422751530332746
6,ArcFace,Facenet512,lfw_pairs,dodging_attack,IDAA,vanilla,0.3763407897181957
9,ArcFace,Facenet512,lfw_pairs,dodging_attack,IDAA,vanilla,0.6834791565369416
15,ArcFace,Facenet512,lfw_pairs,dodging_attack,IDAA,vanilla,0.06779789616081791
16,ArcFace,Facenet512,lfw_pairs,dodging_attack,IDAA,vanilla,0.6187497604042439
23,ArcFace,Facenet512,lfw_pairs,dodging_attack,IDAA,vanilla,0.47958215699068896
18,ArcFace,Facenet512,celeba_pairs,dodging_attack,IDAA,vanilla,0.3258667668786096
27,ArcFace,Facenet512,celeba_pairs,dodging_attack,IDAA,vanilla,0.4600086606568995
28,ArcFace,Facenet512,celeba_pairs,dodging_attack,IDAA,vanilla,0.6228527742234985
30,ArcFace,Facenet512,celeba_pairs,dodging_attack,IDAA,vanilla,0.17644442538286417
33,ArcFace,Facenet512,celeba_pairs,dodging_attack,IDAA,vanilla,0.8135223131199241
1,ArcFace,Facenet512,vggface2_pairs,dodging_attack,IDAA,vanilla,0.574096867999075
4,ArcFace,Facenet512,vggface2_pairs,dodging_attack,IDAA,vanilla,0.29140342475221426
7,ArcFace,Facenet512,vggface2_pairs,dodging_attack,IDAA,vanilla,0.3006999611554572
10,ArcFace,Facenet512,vggface2_pairs,dodging_attack,IDAA,vanilla,0.5635541856280999
11,ArcFace,Facenet512,vggface2_pairs,dodging_attack,IDAA,vanilla,0.3012864977060406
0,ArcFace,ArcFace,lfw_pairs,impersonation_attack,IDAA,vanilla,0.5704074732697654
32,ArcFace,ArcFace,lfw_pairs,impersonation_attack,IDAA,vanilla,0.4524341691683799
48,ArcFace,ArcFace,lfw_pairs,impersonation_attack,IDAA,vanilla,0.41071763178852905
57,ArcFace,ArcFace,lfw_pairs,impersonation_attack,IDAA,vanilla,0.5248006273496091
60,ArcFace,ArcFace,lfw_pairs,impersonation_attack,IDAA,vanilla,0.5245355068669962
2,ArcFace,ArcFace,celeba_pairs,impersonation_attack,IDAA,vanilla,0.7759081499750735
8,ArcFace,ArcFace,celeba_pairs,impersonation_attack,IDAA,vanilla,0.6588566330202504
12,ArcFace,ArcFace,celeba_pairs,impersonation_attack,IDAA,vanilla,0.6113468999007428
26,ArcFace,ArcFace,celeba_pairs,impersonation_attack,IDAA,vanilla,0.48662177218981467
34,ArcFace,ArcFace,celeba_pairs,impersonation_attack,IDAA,vanilla,0.6319897214735324
3,ArcFace,ArcFace,vggface2_pairs,impersonation_attack,IDAA,vanilla,0.6707894149654181
5,ArcFace,ArcFace,vggface2_pairs,impersonation_attack,IDAA,vanilla,0.4887424639900967
17,ArcFace,ArcFace,vggface2_pairs,impersonation_attack,IDAA,vanilla,0.7489882033210278
19,ArcFace,ArcFace,vggface2_pairs,impersonation_attack,IDAA,vanilla,0.6210705091785113
21,ArcFace,ArcFace,vggface2_pairs,impersonation_attack,IDAA,vanilla,0.6918253406046352
6,ArcFace,ArcFace,lfw_pairs,dodging_attack,IDAA,vanilla,0.02870577493553509
9,ArcFace,ArcFace,lfw_pairs,dodging_attack,IDAA,vanilla,-0.17911175942975988
15,ArcFace,ArcFace,lfw_pairs,dodging_attack,IDAA,vanilla,-0.12824325886992016
16,ArcFace,ArcFace,lfw_pairs,dodging_attack,IDAA,vanilla,-0.08461267312053514
23,ArcFace,ArcFace,lfw_pairs,dodging_attack,IDAA,vanilla,0.051295588418806035
18,ArcFace,ArcFace,celeba_pairs,dodging_attack,IDAA,vanilla,-0.10273415186073322
27,ArcFace,ArcFace,celeba_pairs,dodging_attack,IDAA,vanilla,-0.03664390648770576
28,ArcFace,ArcFace,celeba_pairs,dodging_attack,IDAA,vanilla,-0.16319733726504912
30,ArcFace,ArcFace,celeba_pairs,dodging_attack,IDAA,vanilla,-0.2230195254333718
33,ArcFace,ArcFace,celeba_pairs,dodging_attack,IDAA,vanilla,0.2881951243077992
1,ArcFace,ArcFace,vggface2_pairs,dodging_attack,IDAA,vanilla,-0.12014313957402876
4,ArcFace,ArcFace,vggface2_pairs,dodging_attack,IDAA,vanilla,-0.15736197654029602
